Cruise,Year,Month,Euphausia pacifica,Euphausia recurva,Euphausiidae,Nematobrachion flexipes,Nematoscelis difficilis,Nyctiphanes simplex,Stylocheiron abbreviatum,Stylocheiron affine,Stylocheiron longicorne,Stylocheiron spp,Tessarabrachion oculatum,Thysanoessa gregaria,Thysanoessa inspinata,Thysanoessa longipes,Thysanoessa spinifera,PDO,NPGO,ONI,CUTI,BEUTI,UI
GOF0410,2004,10,8285,0,1289,0,64,0,0,0,0,0,0,4,0,0,148,-0.72,0.042904182,0.67,0.428,1.727,46
GOF0502,2005,2,7757,2,28128,0,1352,0,0,0,4,0,0,3,0,0,91,-0.01,-1.5993883,0.58,-0.155,-1.5255,2
GOF0504,2005,4,14061,0,106384,0,852,1,0,0,1,19,0,3,8,0,2085,0.28,-1.7172002,0.43,0.756,9.491,120.5
GOF0505,2005,5,13879,0,16928,0,152,0,0,0,0,9,1,9,0,0,60,1.36,-0.7822376,0.29,0.764,4.7305,108
GOF0506,2005,6,23576,0,129472,0,5,0,0,0,0,32,1,0,1,0,2370,0.85,-1.3968821,0.11,1.353,16.9715,196.5
GOF0507,2005,7,130651,0,44032,0,144,0,0,0,0,64,0,64,0,0,1899,0.11,-1.5583679,-0.06,0.7245,6.3205,177
GOF0510,2005,10,7504,0,21728,0,512,0,0,0,32,96,0,0,0,0,304,-2,-1.0356367,-0.29,0.592,3.933,107
GOF0605,2006,5,31273,0,844,2,24,0,0,0,0,11,0,0,0,0,13884,-0.37,-0.10933311,-0.14,1.0905,14.2475,170.5
GOF0606,2006,6,39444,0,9731,2,100,0,0,0,2,12,0,1,0,0,888,0.21,-0.13355317,-0.03,0.877,9.7435,197.5
GOF0607,2006,7,66863,0,85562,0,692,0,0,0,4,2,0,68,0,0,14435,0.39,-0.26416482,0.1,0.9735,9.188,246.5
GOF0610,2006,10,41294,0,11088,0,756,434,0,0,0,8,0,128,0,0,1450,-0.46,-0.90868945,0.77,0.261,0.7255,87.5
GOF0705,2007,5,32720,0,75625,92,718,0,24,0,24,217,16,26,0,0,1327,-0.29,0.51459779,-0.38,0.895,16.9755,230.5
GOF0706,2007,6,34846,0,68184,0,448,0,66,0,16,82,0,64,0,0,19420,-0.07,1.2697477,-0.47,1.067,17.233,222.5
GOF0709,2007,9,2914,0,125,0,134,0,4,0,2,9,0,4,0,0,388,-0.97,0.71523857,-1.07,0.9205,2.8215,97.5
GOF0804,2008,4,27650,0,1011,1,471,0,8,0,2,31,0,231,0,0,1950,-1.79,1.3599268,-1.01,0.9085,20.2225,177.5
GOF0805,2008,5,12338,0,979,9,58,0,17,0,8,37,0,25,0,0,72,-1.62,1.7339512,-0.84,1.104,26.6775,201
GOF0806,2008,6,60208,0,2848,0,312,0,0,0,0,64,0,8,0,0,5552,-1.85,1.5539058,-0.61,0.991,19.901,242
GOF0809,2008,9,6370,0,1326,0,368,0,0,0,0,8,0,0,0,0,1914,-1.87,2.1982598,-0.24,0.156,0.6795,74
GOF0905,2009,5,432,0,208,0,0,0,0,0,0,8,0,0,0,0,480,-1.32,0.49203375,0.01,0.757,15.409,148.5
